city,cloudiness,date,humidity,latitude,longitude,maximum_temperature,wind_speed
beloha,29,1562871693,82,-25.17,45.06,63.21,4.56
eyl,62,1562871344,61,7.98,49.82,81.03,24.02
saurimo,0,1562871693,28,-9.66,20.4,70.41,4.9
bamako,40,1562871694,55,12.65,-8.0,89.6,3.36
yanam,100,1562871694,83,16.73,82.22,81.75,3.91
kingsport,75,1562871427,94,36.55,-82.56,80.01,3.36
ussel,75,1562871695,66,45.55,2.31,75.99,5.01
west wendover,1,1562871696,14,40.74,-114.07,89.6,10.29
assiniboia,78,1562871635,51,49.63,-105.99,77.07,13.06
aklavik,75,1562871430,66,68.22,-135.01,48.2,13.87
bay-khaak,100,1562871697,65,51.16,94.47,61.05,8.19
hamilton,75,1562871103,69,43.26,-79.87,87.01,17.22
sola,68,1562871611,37,-3.17,33.8,75.99,12.17
ejby,30,1562871698,68,55.69,11.85,66.99,2.24
ocos,20,1562871698,49,14.51,-92.19,91.4,6.93
zakamensk,60,1562871698,96,50.38,103.29,53.85,5.39
poum,40,1562871404,72,41.28,20.71,62.6,4.7
roald,21,1562871699,87,62.58,6.12,64.4,14.99
hualmay,66,1562871700,87,-11.1,-77.61,62.49,12.35
haikou,0,1562871624,94,20.04,110.34,77.0,4.47
solhan,0,1562871701,42,38.97,41.05,62.49,4.81
berdigestyakh,83,1562871543,77,62.1,126.7,60.69,3.76
manokwari,9,1562871702,81,-0.87,134.08,71.85,4.52
ferme-neuve,96,1562871702,93,46.7,-75.45,72.93,9.04
yantzaza,40,1562871702,30,-3.83,-78.76,84.2,18.34
yanahuanca,0,1562871703,27,-10.49,-76.52,51.69,7.56
kungurtug,100,1562871703,98,50.6,97.53,52.41,1.12
caxias,40,1562871704,46,-4.87,-43.35,89.6,8.05
kununurra,49,1562871491,71,-15.77,128.74,57.2,11.16
orlik,0,1562871704,52,53.95,17.74,66.0,8.05
steinbach,75,1562871705,57,49.53,-96.69,82.99,24.16
westport,75,1562871659,58,41.14,-73.36,86.0,12.75
ampanihy,16,1562871706,82,-24.69,44.75,62.49,2.86
ust-tsilma,53,1562871694,74,65.44,52.15,48.09,6.15
knysna,90,1562871410,82,-34.04,23.05,57.2,4.7
ambato,75,1562871707,59,-1.24,-78.63,87.8,6.93
aljezur,0,1562871708,77,37.31,-8.8,82.0,10.54
erdaojiang,99,1562871708,96,41.78,126.03,59.97,2.44
burnie,99,1562871644,82,-41.05,145.91,46.99,20.0
biak,99,1562871569,98,-0.91,122.88,61.95,4.27
staroye drozhzhanoye,65,1562871709,91,54.73,47.56,57.81,7.23
kandete,27,1562871710,95,-9.15,33.8,50.61,7.56
batagay-alyta,68,1562871710,75,67.8,130.41,54.21,1.36
raudeberg,40,1562871439,82,61.99,5.14,69.8,4.7
santa maria,0,1562871366,28,-16.02,-48.01,80.6,2.24
istmina,75,1562871711,77,5.16,-76.69,66.2,8.05
deputatskiy,20,1562871380,92,69.3,139.9,55.29,5.14
maralal,66,1562871703,68,1.1,36.7,66.09,19.3
ambilobe,98,1562871460,70,-13.19,49.05,71.67,5.91
jijiang,90,1562871713,100,29.8,120.61,77.0,2.24
mayo,90,1562871410,77,63.59,-135.9,60.8,1.57
tura,23,1562871338,92,64.27,100.22,49.53,2.64
walvis bay,75,1562871714,88,-22.95,14.51,62.6,6.93
san carlos,55,1562871378,52,11.12,-84.78,75.99,13.0
bud,12,1562871714,87,62.91,6.91,64.4,14.99
gat,3,1562871410,65,14.69,-16.54,82.4,14.99
zhireken,70,1562871715,57,52.82,117.29,65.55,2.55
haverhill,90,1562871716,68,52.08,0.44,75.99,13.87
cilegon,20,1562871716,69,-6.02,106.05,78.8,3.36
toora-khem,100,1562871716,99,52.47,96.11,52.95,4.18
dunmore town,92,1562871717,77,25.5,-76.65,84.27,9.4
festus,40,1562871717,54,38.22,-90.4,86.0,9.17
ixtapa,90,1562871590,58,20.71,-105.21,87.8,6.93
ostersund,0,1562871718,59,63.18,14.64,69.01,4.7
paidha,100,1562871668,96,2.42,30.99,61.59,2.35
maldonado,0,1562871719,72,-34.91,-54.96,62.6,2.24
nemea,53,1562871720,54,37.82,22.66,75.99,8.99
zeya,11,1562871720,89,53.74,127.27,59.25,3.02
svetlaya,100,1562871721,96,46.54,138.33,54.21,0.58
saldanha,0,1562871334,21,41.42,-6.55,92.37,2.55
taltal,32,1562871388,73,-25.41,-70.49,56.37,4.54
hervey bay,0,1562871722,81,-25.3,152.85,53.01,6.93
kamaishi,100,1562871616,96,39.28,141.86,54.21,3.31
sault sainte marie,90,1562871723,82,46.49,-84.36,60.8,12.75
esil,94,1562871723,44,51.96,66.41,73.83,9.35
alamosa,1,1562871724,29,37.47,-105.87,78.8,6.93
havelock,2,1562871312,62,34.88,-76.9,91.4,11.41
mahibadhoo,100,1562871724,69,3.78,72.97,84.63,7.78
fuyang,95,1562871613,65,32.89,115.81,74.37,4.63
maniitsoq,54,1562871421,83,65.42,-52.9,46.11,6.69
mangan,100,1562871700,94,27.5,88.54,58.89,0.11
gashua,26,1562871726,37,12.87,11.04,92.73,13.69
salcedo,20,1562871726,49,19.38,-70.42,95.0,9.17
mbaiki,99,1562871727,96,3.87,17.99,70.77,2.37
tezu,100,1562871727,98,27.93,96.16,68.61,2.82
nemuro,100,1562871415,91,43.32,145.57,52.41,13.8
sayyan,92,1562871597,49,15.17,44.32,74.19,5.12
grand gaube,20,1562871729,82,-20.01,57.66,68.0,6.93
powell river,75,1562871729,72,49.84,-124.52,68.0,3.4
san jeronimo,0,1562871446,38,-13.65,-73.37,60.8,8.01
haines junction,100,1562871730,46,60.75,-137.51,62.31,6.02
uporovo,56,1562871730,93,56.31,66.27,64.29,3.98
ouadda,99,1562871730,96,8.07,22.4,66.27,1.28
samarai,100,1562871426,84,-10.62,150.67,69.33,9.4
murwillumbah,0,1562871731,100,-28.33,153.4,53.6,2.24
huejuquilla el alto,20,1562871732,26,22.63,-103.9,84.81,4.47
raymond,40,1562871732,36,49.47,-112.67,78.01,20.8
emba,0,1562871364,88,34.81,32.42,84.0,8.05
linda,1,1562871733,37,39.13,-121.55,88.0,4.7
praia,0,1562871604,27,-20.25,-43.81,75.2,3.36
mago,100,1562871734,97,53.27,140.15,55.11,3.91
flin flon,90,1562871680,87,54.77,-101.88,57.2,5.82
najran,40,1562871560,14,17.54,44.22,93.2,4.7
merrill,1,1562871596,46,42.03,-121.6,79.0,4.7
sisimiut,44,1562871735,92,66.94,-53.67,41.25,7.45
udachnyy,90,1562871444,59,66.42,112.4,64.4,4.47
mizdah,0,1562871736,20,31.45,12.98,94.53,12.44
vozhega,74,1562871736,81,60.47,40.21,44.85,3.51
sagua de tanamo,86,1562871737,39,20.58,-75.24,94.17,3.18
madang,97,1562871737,91,35.32,102.79,35.85,0.43
jaguey grande,20,1562871738,62,22.53,-81.13,87.8,6.93
toamasina,40,1562871738,94,-18.17,49.38,69.8,1.21
sorland,90,1562871467,87,67.67,12.69,51.8,17.22
