city,cloudiness,date,humidity,latitude,longitude,maximum_temperature,wind_speed
kuryk,0,1562871545,41,43.18,51.68,85.71,3.51
strangnas,94,1562871545,45,59.38,17.03,66.0,8.05
shambu,36,1562871546,93,9.57,37.1,55.47,0.54
cidreira,100,1562871343,58,-30.17,-50.22,70.05,4.74
tocopilla,48,1562871495,83,-22.09,-70.2,58.53,10.6
guerrero negro,0,1562871448,85,27.97,-114.04,67.17,15.9
waingapu,97,1562871547,87,-9.65,120.26,68.79,13.62
matagami,100,1562871412,96,9.67,8.4,70.05,2.64
hithadhoo,49,1562871174,73,-0.6,73.08,84.81,11.01
khuldabad,40,1562871548,83,20.05,75.18,77.0,3.36
tablas,75,1562871549,55,0.73,-78.22,60.8,13.87
carnarvon,0,1562871332,19,-30.97,22.13,58.71,12.48
mar del plata,24,1562871417,54,-46.43,-67.52,46.65,13.4
barrow,100,1562871344,59,-38.31,-60.23,58.89,0.96
kidal,38,1562871399,12,18.44,1.41,106.23,10.6
olivenza,0,1562871551,18,38.68,-7.1,102.2,4.7
mbekenyera,44,1562871551,51,-10.0,38.98,69.51,3.27
fare,8,1562871470,70,-16.7,-151.02,77.97,10.51
caxito,0,1562871552,50,-22.65,-42.51,75.2,9.17
natal,40,1562871193,58,-5.81,-35.21,84.2,17.22
san cristobal,40,1562871456,43,14.68,-86.92,86.07,8.66
tuensang,100,1562871451,99,26.24,94.81,71.85,2.15
buraydah,0,1562871449,18,26.33,43.97,96.8,12.75
santo antonio do ica,72,1562871554,59,-3.1,-67.94,88.05,0.81
abalak,60,1562871554,16,15.46,6.28,102.09,7.23
geraldton,40,1562871381,46,49.72,-86.95,69.8,13.87
tumpat,75,1562871386,94,6.2,102.17,75.2,2.24
asosa,70,1562871555,99,10.07,34.53,65.01,4.21
metro,19,1562871556,93,-5.11,105.31,71.13,4.21
alibag,75,1562871556,88,18.64,72.88,82.4,8.05
porto velho,40,1562871557,70,-8.75,-63.87,89.6,6.93
olinda,40,1562871557,81,-37.84,145.39,55.99,17.22
valparaiso,1,1562871557,65,41.47,-87.06,82.0,8.05
daltenganj,100,1562871558,82,24.03,84.07,78.69,4.97
boende,100,1562871558,86,-0.28,20.88,74.01,1.97
luang prabang,100,1562871559,98,19.89,102.14,70.59,2.15
isla vista,0,1562871559,44,34.41,-119.86,89.01,6.93
kavaratti,100,1562871388,81,10.57,72.64,83.73,10.47
mahon,20,1562871560,68,51.89,-8.4,64.4,14.99
mihara,18,1562871561,97,34.46,133.0,72.0,1.88
constitucion,40,1562871372,27,23.99,-104.67,79.0,12.75
san francisco,75,1562871307,38,1.17,-76.88,75.2,8.05
dhidhdhoo,100,1562871346,69,6.88,73.1,83.91,4.27
goderich,4,1562871076,81,43.74,-81.71,73.0,13.85
minsk,0,1562871562,77,53.9,27.56,60.8,2.24
mount gambier,75,1562871563,93,-37.83,140.78,53.6,16.11
helong,99,1562871563,95,25.94,116.13,74.01,3.22
honningsvag,0,1562871564,75,70.98,25.97,47.55,12.35
katsuura,90,1562871435,94,33.93,134.5,73.4,3.36
port macquarie,0,1562871565,57,-31.43,152.91,50.0,3.33
chuy,100,1562871260,84,-33.69,-53.46,58.71,7.67
souillac,0,1562871338,36,45.6,-0.6,81.0,11.41
hovd,0,1562871566,63,63.83,10.7,66.0,11.41
requena,0,1562871566,55,39.49,-1.1,88.0,9.17
kavieng,100,1562871353,78,-2.57,150.8,81.75,13.22
avera,40,1562871567,49,33.19,-82.53,93.2,10.29
valkeala,0,1562871568,58,60.94,26.8,53.6,3.36
port blair,100,1562871381,81,11.67,92.75,83.01,12.64
pelym,70,1562871568,68,61.01,62.0,61.41,8.14
georgetown,40,1562871054,79,6.8,-58.16,86.0,6.93
karatuzskoye,100,1562871569,81,53.61,92.87,57.09,7.49
kananga,68,1562871570,35,-5.9,22.41,77.43,1.5
baruun-urt,52,1562871368,65,46.68,113.28,64.47,6.08
castro,75,1562871111,93,-42.48,-73.76,48.2,13.87
kagal,100,1562871571,93,16.58,74.32,71.13,10.94
chumikan,100,1562871571,96,54.72,135.31,50.79,1.88
yeppoon,0,1562871548,87,-23.13,150.74,50.0,1.3
atuona,59,1562871330,78,-9.8,-139.03,80.85,20.78
cayenne,56,1562871232,74,4.94,-52.33,82.4,3.36
bose,40,1562871572,60,45.46,8.01,77.0,4.7
esperance,90,1562871414,100,-33.86,121.89,50.0,8.05
nanortalik,99,1562871268,91,60.14,-45.24,40.17,6.13
bansi,100,1562871395,95,27.18,82.93,78.15,5.57
mangrol,77,1562871574,61,25.33,76.51,86.61,16.89
wanning,100,1562871567,74,48.64,13.53,69.01,5.01
agadez,40,1562871575,37,16.97,7.99,96.8,36.91
norman wells,75,1562871412,71,65.28,-126.83,53.6,14.99
matara,18,1562871575,82,-3.48,29.48,51.51,1.68
flinders,19,1562871390,54,-34.58,150.85,57.99,16.11
tabou,83,1562871576,80,4.42,-7.36,75.99,6.17
pisco,7,1562871045,30,-13.71,-76.2,71.6,10.29
airai,0,1562871109,78,-8.93,125.41,66.99,5.46
luderitz,0,1562871346,82,-26.65,15.16,56.37,3.67
truth or consequences,1,1562871578,21,33.13,-107.25,97.0,7.61
sinnamary,10,1562871578,80,5.38,-52.96,81.39,15.1
coihaique,75,1562871335,93,-45.58,-72.07,46.4,4.7
karratha,70,1562871415,28,-20.74,116.85,68.79,10.54
arraial do cabo,0,1562871367,50,-22.97,-42.02,75.2,9.17
ati,94,1562871579,54,13.21,18.34,84.09,17.07
san mateo del mar,89,1562871580,48,16.21,-94.98,93.63,11.88
albury,75,1562871580,87,-36.08,146.92,51.8,6.93
labuhan,14,1562871399,96,-2.54,115.51,71.13,1.39
qaanaaq,5,1562871111,47,77.48,-69.36,45.93,4.29
teya,75,1562871581,59,21.05,-89.07,97.0,4.7
cape town,75,1562871179,87,-33.93,18.42,57.0,3.36
klaksvik,83,1562871370,100,62.23,-6.59,51.8,11.41
college,90,1562871329,64,64.86,-147.8,73.4,2.17
kabare,75,1562871583,88,-1.65,29.38,68.0,6.93
kenai,90,1562871575,93,60.55,-151.26,57.99,4.7
fairbanks,90,1562871346,64,64.84,-147.72,69.8,2.17
aripuana,23,1562871584,37,-9.17,-60.63,92.01,3.89
kawalu,92,1562871563,96,-7.38,108.21,66.27,3.65
tilichiki,8,1562871585,90,60.47,166.1,50.07,3.74
sinegorye,26,1562871586,70,62.09,150.53,61.77,0.83
tinglev,100,1562871586,82,54.93,9.25,64.4,5.82
vardo,1,1562871347,66,39.62,-77.74,87.8,8.05
tiksi,90,1562871103,58,71.64,128.87,54.03,10.98
camaqua,83,1562871587,64,-30.85,-51.81,73.65,0.54
mareeba,75,1562871559,88,-16.99,145.42,68.0,8.05
podgornoye,5,1562871588,72,57.79,82.64,58.89,5.14
robe,15,1562871588,78,7.12,40.01,48.81,6.15
bathsheba,40,1562871452,58,13.22,-59.52,87.8,19.46
san patricio,12,1562871379,59,-26.98,-56.83,77.61,5.99
niquelandia,0,1562871590,23,-14.47,-48.46,89.67,2.28
kodiak,1,1562871380,16,39.95,-94.76,84.2,9.17
biltine,100,1562871541,51,14.53,20.93,87.87,18.99
sitrah,0,1562871591,41,26.15,50.62,96.8,3.36
ponta delgada,20,1562871591,69,37.73,-25.67,75.2,10.29
tual,59,1562871396,79,-5.67,132.75,77.25,18.14
barbosa ferraz,0,1562871592,34,-24.03,-52.01,80.6,6.93
torbay,90,1562871342,93,47.66,-52.73,51.8,9.17
ribeira grande,20,1562871376,78,38.52,-28.7,73.4,4.7
cherskiy,66,1562871377,46,68.75,161.3,74.19,4.18
bozova,0,1562871593,48,37.36,38.53,84.2,21.92
otawara,100,1562871594,94,36.87,140.03,59.0,9.46
russellville,1,1562871342,46,35.28,-93.13,90.0,6.93
thompson,90,1562871159,87,55.74,-97.86,57.2,5.82
galle,75,1562871580,93,10.08,-12.83,73.47,6.67
tiznit,2,1562871519,77,29.7,-9.73,69.69,5.59
dangriga,75,1562871596,74,16.97,-88.23,90.0,9.17
siguiri,72,1562871596,79,11.42,-9.17,82.11,1.41
east london,0,1562871324,55,-33.02,27.91,64.4,6.93
mogadishu,99,1562871535,84,2.04,45.34,77.07,11.27
oloron-sainte-marie,0,1562871598,61,43.19,-0.61,79.0,9.17
goyty,0,1562871599,69,43.16,45.62,77.0,4.47
dzilam gonzalez,93,1562871599,75,21.28,-88.93,83.19,8.46
barcelos,0,1562871471,72,-0.97,-62.93,85.35,3.71
rio gallegos,90,1562871419,93,-51.62,-69.22,39.2,12.37
golspie,75,1562871601,100,57.97,-3.98,63.0,1.12
shenjiamen,98,1562871441,91,29.96,122.3,75.63,12.39
victoria,75,1562871556,83,5.28,115.24,78.8,2.24
senador jose porfirio,29,1562871603,58,-2.59,-51.95,85.35,0.98
ilulissat,40,1562871391,81,69.22,-51.1,44.6,6.93
vao,28,1562871604,63,59.1,26.19,51.51,3.89
mana,81,1562871604,38,13.03,5.27,93.09,10.25
saint george,20,1562871032,53,39.45,22.34,73.4,6.93
itoman,75,1562871606,88,26.12,127.67,80.6,8.05
rabaul,100,1562871606,74,-4.2,152.17,80.67,17.27
tomatlan,100,1562871438,71,19.93,-105.25,83.91,6.53
la romana,40,1562871607,52,18.43,-68.97,93.2,13.87
along,100,1562871590,99,28.17,94.8,57.99,1.86
tasiilaq,40,1562871335,81,65.61,-37.64,42.8,11.41
jishou,100,1562871609,92,28.26,109.7,67.35,1.54
mitsamiouli,20,1562871609,73,-11.38,43.28,73.4,2.24
hofn,20,1562871400,59,64.25,-15.21,60.8,6.93
coahuayana,100,1562871341,72,18.62,-100.35,82.29,1.28
yarim,91,1562871610,49,14.3,44.38,74.01,7.81
lavrentiya,17,1562871611,47,65.58,-170.99,65.01,5.68
snyder,1,1562871581,40,32.72,-100.92,93.99,3.36
bubaque,100,1562871611,85,11.28,-15.83,79.41,13.2
lere,100,1562871612,94,9.66,14.23,71.49,3.89
nabire,100,1562871393,97,-3.36,135.5,67.89,4.38
karasjok,0,1562871613,51,69.47,25.52,59.0,14.99
isla aguada,40,1562871613,70,18.78,-91.49,86.0,6.93
teknaf,100,1562871614,80,20.86,92.31,84.63,18.57
neiafu,75,1562871614,94,-18.65,-173.98,73.4,5.82
clonakilty,20,1562871615,68,51.62,-8.87,64.4,14.99
cockburn town,40,1562871610,70,21.46,-71.14,89.6,11.41
meulaboh,90,1562871569,70,4.14,96.13,84.45,4.97
mezen,100,1562871616,96,65.85,44.24,43.59,12.24
mathbaria,100,1562871617,84,22.29,89.96,83.01,9.71
rize,40,1562871617,78,41.02,40.52,77.0,8.05
abu dhabi,0,1562871116,63,24.47,54.37,95.0,1.12
tokat,75,1562871618,72,40.33,36.55,59.0,17.22
aguimes,20,1562871618,57,27.91,-15.45,77.0,18.34
cabedelo,40,1562871434,65,-6.97,-34.84,82.4,13.87
mahebourg,20,1562871171,82,-20.41,57.7,68.0,6.93
upornaya,66,1562871620,87,44.39,41.02,62.85,8.19
yaring,73,1562871620,76,6.87,101.37,82.11,7.7
leningradskiy,33,1562871356,68,69.38,178.42,49.35,8.68
dolores,100,1562871615,72,-33.53,-58.22,70.0,8.01
general cepeda,75,1562871621,39,25.38,-101.48,82.4,8.05
davydovka,93,1562871622,87,51.16,39.42,58.89,4.56
narsaq,75,1562871326,66,60.91,-46.05,53.6,4.7
baculin,99,1562871623,89,7.45,126.58,70.59,5.26
uwajima,18,1562871623,94,33.22,132.57,68.25,2.91
camapua,0,1562871624,30,-19.53,-54.04,81.21,8.32
llanes,0,1562871624,76,43.42,-4.75,73.0,1.01
cordoba,0,1562871625,24,-27.78,-67.24,69.15,5.66
butembo,100,1562871625,97,0.12,29.29,62.31,2.55
